Movie Title,Movie URL,Synopsis
Machete,https://imsdb.com/Movie Scripts/Machete Script.html,"In Mexico, the determined federal agent Machete Cortez opposes to the order of his chief and drives with his partner to the hideout of the drug lord Rogelio Torrez to rescue an abducted witness against the gangster. However, he finds the witness naked on the bed but he is surprisingly betrayed by the woman, and his wife and daughter are murdered by Torrez. Three years later, Machete is an illegal immigrant in Texas that wanders on the streets seeking job in the Day Labor Site. He is hired by Michael Booth to assassinate the boasting right-winged Senator John McLaughlin, who is against the immigrants and defends the construction of an electrified fence along the border with Mexico. Machete receives one hundred and fifty thousand dollars for the assignment, but he gives the money to Luz, a Mexican woman that sells taco in her truck and manages the underground Network that assists illegal Mexicans and helped Machete three years ago. When Machete is ready as a sniper in a tower, he finds that he has been betrayed and set up by Booth, who actually is McLaughlin's adviser and plotted the scheme to improve the statistics with the sympathy of the electors to McLaughlin. Once again Machete survives and discovers that Booth supports the vigilantes led by the cruel Von Jackson and is associated to Torrez. Now Machete seeks revenge against his enemies and becomes a myth.—Claudio Carvalho, Rio de Janeiro, Brazil"
Machine Gun Preacher,https://imsdb.com/Movie Scripts/Machine Gun Preacher Script.html,"In Pittsburgh, Pennsylvania, addicted gang biker Sam Childers is released from prison and learns that his wife Lynn is no longer a stripper but has converted to Christianity. One night, Sam and his best friend Donnie give a ride to a hitchhiker who threatens Donnie with a pocketknife; however Sam reacts and turns the tables on the stranger. Sam is affected by the incident and is convinced by Lynn and his mother Daisy to join their church, and he is baptized. Sam finds a straight job in construction. When he meets a preacher from Africa, he decides to visit the continent. Sam travels to Northern Uganda and South Sudan many times and builds an orphanage for the victims of the cruel Lord's Resistance Army (LRA). Further, he fights whenever necessary and becomes a legend known as The Machine Gun Preacher.—Claudio Carvalho, Rio de Janeiro, Brazil"
Mad Max 2: The Road Warrior,https://imsdb.com/Movie Scripts/Mad Max 2: The Road Warrior Script.html,
Made,https://imsdb.com/Movie Scripts/Made Script.html,"Jack is getting divorced and his London art gallery building belongs to his parents-in-law so his soon-to-be ex-wife gives him one month to find the money to buy the place. He contacts his estranged artist/painter dad, Robert, and they drive down to Tuscany, Italy, to fix up and sell the country house inherited from their late wife/mom (car accident). Jack hasn't been there since he was 7 and it hasn't been used the following 20 years or so. It has a fantastic view but is in dire need of repair and paint if they want to sell it. Jack heads to the nearest town and meets cute, single divorcee Natalia, who owns and runs a restaurant there.—Scott Filtenborg"
Magnolia,https://imsdb.com/Movie Scripts/Magnolia Script.html,"In the style of Ripley's Believe It Or Not, coincidence has played a part in three bizarre deaths during the past century... Jimmy Gator has hosted the popular quiz show ""What Do Kids Know?"" in Los Angeles for over 30 years. Stanley is the brightest of the three kids currently reigning on the show. Jimmy is estranged from his daughter, Claudia. Living in her cheap apartment, Claudia is hooked on cocaine. Donnie Smith had been a famous whiz kid on Jimmy's show decades ago. Since being hit by lightning, he does promotional work for the Solomon Bros. appliance store and dreams of getting an expensive set of braces for his teeth. Frank Mackey is a very successful motivational speaker. His aggressive seminar on dating, ""Seduce and Destroy"", is well attended by frustrated bachelors. Officer Kurring answers a call at a woman's apartment and finds a corpse in her closet. Affluent producer Earl Partridge is bedridden and dying of cancer. His beautiful wife Linda married him for his money... The quiz show kids are close to setting an all-time record; Stanley feels the pressure from his father. Jimmy has learned that he has cancer and only two months to live. Officer Kurring arrives at an apartment where neighbours have complained about the noise; Claudia opens the door. Earl asks Phil, his nurse, to contact his estranged son; the younger Partridge now uses the name Frank Mackey...—David Woodfield"
"Majestic, The (The Bijou)","https://imsdb.com/Movie Scripts/Majestic, The (The Bijou) Script.html","Peter Appleton is an ambitious young screenwriter working for HHS Studios during Hollywood's Golden Age--1951 in particular. ""Ashes to Ashes"" is about to be released, and he's dating its attractive star, Sandra Sinclair. Just when everything seems to be going his way, it is discovered that he (unwittingly) attended a Communist meeting during college when dragged there by his girlfriend at the time; thus, heavy suspicion settles over him and he must stand before Congress. Afraid of what might happen if they don't, HHS cancels Appleton's contract and aborts the film's release. Appleton promptly plunges into self-pity and spends nearly a whole night at a bar, then drives intoxicated through the streets of California until he plummets into a stormy river and is knocked unconscious. He washes up on the beaches of a small town called Lawson. The citizens are pleasant and likable, but the town is depressed and lifeless after losing 62 of its sons in World War II. One of them, Luke Trimble, was Missing in Action, and miraculously, Peter bears a striking resemblance to the black-and-white photos: close enough to fool even Luke's father Harry. And the alcohol and blow to the head have brought on amnesia, so Peter decides that he must be who they think he is. Besides, it's not a bad life: Luke's beautiful girlfriend, lawyer Adele Stanton, is all over him; the town has sudden sprung back to life with excitement, and he and his ""father"" rebuild a movie palace Harry used to run, The Majestic. Unfortunately, Peter's memory returns in time for G-men to track him down.—Bloggers!"
Major League,https://imsdb.com/Movie Scripts/Major League Script.html,"The Cleveland Indians have gone 34 years without a division title. Team owner Donald Phelps has died, and his snobby wife Rachel Phelps, a former showgirl, has taken over as the new owner. Some in the media think Rachel shouldn't be the owner of a baseball team. Rachel hates Cleveland, so she makes plans to move the Indians to the warmer climate of Miami, Florida, but she can't break the team's lease with Cleveland unless the team's attendance for the season is below 800,000. Rachel's plan is to put together a team so awful that the season attendance will be lower than 800,000. Rachel and general manager Charlie Donovan hire a manager for the Indians Lou Brown, who has been the manager of the minor league Toledo Mud Hens for the past 30 years. Charlie then recruits some misfit players catcher Jake Taylor, who is a major league standout with knee problems, Ricky ""Wild Thing"" Vaughn, who is a pitcher who throws wildly, third baseman Roger Dorn, who is a product endorser and former major league star who will do anything to avoid injury, outfielder Willie Mays Hayes, who runs fast enough to steal a lot of bases but can't hit very well, and Pedro Cerrano, who is an outfielder who practices voodoo. As expected, the Indians get off to a slow start, but when they discover that Rachel wants the team to lose so she can move the team, the Indians get their act together and start winning games and raising their attendance, as Jake tries to win back his ex-girlfriend Lynn Wells, and the Indians do what they can to win the division title.—Todd Baldridge"
Malcolm X,https://imsdb.com/Movie Scripts/Malcolm X Script.html,"Biograpical epic of Malcolm X, the legendary African American leader. Born Malcolm Little, his father (a Garveyite Baptist minister) was killed by the Ku Klux Klan. Malcolm became a gangster, and while in jail discovered the Nation of Islam writings of Elijah Muhammad. He preaches the teachings when let out of jail, but later on goes on a pilgrimage to the city of Mecca, there he converts to the original Islamic religion and becomes a Sunni Muslim and changes his name to El-Hajj Malik Al-Shabazz. He is assassinated on February 21, 1965 ."
Malibu's Most Wanted,https://imsdb.com/Movie Scripts/Malibu's Most Wanted Script.html,"Brad Gluckman (Kennedy) is a wannabe rap star from Malibu who acts and talks like he's from the ""'hood."" Concerned that his son is going to embarrass him during his campaign to become the governor of California, Brad's wealthy father and his campaign manager (Underwood), hire two trained actors (Diggs and Anderson) to disguise themselves as ""real life gangstaz"", and kidnap his son, dropping him off in the ""real hood"" in Compton, in an effort to scare the ghettofied attitude and behavior out of him.—Anonymous"
Man in the Iron Mask,https://imsdb.com/Movie Scripts/Man in the Iron Mask Script.html,"Ruling France with an iron fist, two long decades after Queen Anne gave birth to a boy, the cruel young monarch, King Louis XIV, squanders the treasury on war and women, condemning the people to a life of poverty and hunger. As the loyal leader of the king's guard, Captain D'Artagnan, shields Louis from sinister machinations against him, Christine, the beautiful but impecunious fiancé of Raoul, a soldier and only son of Athos, the former musketeer, catches the eye of the debauched aristocrat. Now, Athos along with the retired ex-brothers-in-arms, Aramis and Porthos, have a dangerous mission to accomplish, unbeknownst to them that an unknown twin brother who is left to rot in an impenetrable prison of the Bastille for the past six years, may have the solution to the nation's present problems. Can the man in the iron mask save France?—Nick Riganas"
Man On Fire,https://imsdb.com/Movie Scripts/Man On Fire Script.html,"A wave of kidnappings has swept through Mexico, feeding a growing sense of panic among its wealthier citizens, especially parents. In one six-day period, there were 24 abductions, leading many to hire bodyguards for their children. Into this world enters John Creasy, a burned-out ex-CIA operative/assassin, who has given up on life. Creasy's friend Rayburn brings him to Mexico City to be a bodyguard to 9-year-old Pita Ramos, daughter of industrialist Samuel Ramos and his wife Lisa. Creasy is not interested in being a bodyguard, especially to a youngster, but for lack of something better to do, he accepts the assignment. Creasy barely tolerates the precocious child and her pestering questions about him and his life. But slowly, she chips away at his seemingly impenetrable exterior, his defenses drop, and he opens up to her. Creasy's new-found purpose in life is shattered when Pita is kidnapped. Despite being seriously wounded during the kidnapping, he vows to kill anyone involved in or profiting from the kidnapping. And no one can stop him.—Sujit R. Varma"
Man on the Moon,https://imsdb.com/Movie Scripts/Man on the Moon Script.html,"The life of Andy Kaufman is dramatized, focusing on the period starting just prior to his celebrity to his premature death due to illness. He always wanted to be famous, but on his own terms. Getting his professional start in the comedy clubs as a stand-up comic, he was not a stand-up comic per se but rather a performance artist who was arguably more interested in maintaining his own artistic vision than entertaining the audience while still wanting that fame. Regardless of what was his rather odd routine at a club, he catches the eye of well-regarded talent manager George Shapiro, who is able to find a place for that talent, Kaufman's big break, somewhat to his dismay in not admiring it as a genre, on the sitcom Taxi (1978). With the celebrity, he begins to act more and more outrageous, no one ever clear, except for those few needing to be in the know, if that behavior is an act in his performance art or reality. As such, even reports of his illness and ultimate death are met with skepticism in Kaufman having had ""them"" once too often. And his star begins to fade as many in the industry will no longer employ him in he being too unpredictable. Standing by him to the end are Shapiro, Kaufman's writing partner Bob Zmuda, and who would become Kaufman's wife, Lynne Margulies.—Huggo"
Man Trouble,https://imsdb.com/Movie Scripts/Man Trouble Script.html,"Eugene Earl Axline is a guard dog trainer who gets involved with one of his clients, Joan Spruance. Spruance's sister is a classic airhead, who is spilling all she knows about her gangster boyfriend.—John sacksteder <jsack@ka.net>"
"Man Who Knew Too Much, The","https://imsdb.com/Movie Scripts/Man Who Knew Too Much, The Script.html","While attending a medical conference in Paris, an American physician, Dr. Ben McKenna, along with his wife, retired musical theater actress and singer Jo McKenna née Conway, and their adolescent son, Hank McKenna, decide to take a side trip to Marrakesh, French Morocco. On the bus to Marrakesh, they meet a Frenchman, Louis Bernard. The following day at the market, Louis is masquerading as an Arab and approaches Ben with a knife plunged in his back. Before dying, Louis cryptically whispers into Ben's ear that there will be an attempted assassination in London of a statesman. Ben is reluctant to provide any information of this news to the authorities because he learned Hank was kidnapped by a British couple, Edward and Lucy Drayton. The people the Draytons were working for threatened to kill Hank if Ben divulged any information told to him by Louis Bernard. With what little information they have on hand, Ben and Jo head to London to try and thwart the assassination attempt and more importantly find Hank alive and safe. Scotland Yard is aware of some pieces to the puzzle, including the fact that Louis Bernard was a French secret service agent and that there will be an assassination attempt on someone. They will have to work together as they hit a diplomatic roadblock, one that may be overcome with a special Jo Conway song.—Huggo"
"Man Who Wasn't There, The","https://imsdb.com/Movie Scripts/Man Who Wasn't There, The Script.html","1949, Santa Rosa, California. A laconic, chain-smoking barber with fallen arches tells a story of a man trying to escape a humdrum life. It's a tale of suspected adultery, blackmail, foul play, death, Sacramento city slickers, racial slurs, invented war heroics, shaved legs, a gamine piano player, aliens, and Heisenberg's uncertainty principle. Ed Crane cuts hair in his in-law's shop; his wife drinks and may be having an affair with her boss, Big Dave, who has $10,000 to invest in a second department store. Ed gets wind of a chance to make money in dry cleaning. Blackmail and investment are his opportunity to be more than a man no one notices. Settle in the chair and listen.—<jhailey@hotmail.com>"
"Manchurian Candidate, The","https://imsdb.com/Movie Scripts/Manchurian Candidate, The Script.html","Staff Sergeant Raymond Shaw (Laurence Harvey) is only one of seventy-seven U.S. military men who arrive back from the Korean War awarded the Medal of Honor. Raymond's controlling and ambitious mother, Mrs. Eleanor Shaw Iselin (Dame Angela Lansbury), wants to capitalize on Raymond's name in the re-election bid of her husband, Raymond's stepfather, Republican Senator John Yerkes Iselin (James Gregory), which does not sit well with Raymond, who despises both of them. Despite John being largely seen as being a buffoon, he has garnered a modicum of political success largely due to his anti-Communist rhetoric. The Medal of Honor was the result of Raymond saving nine members of his army battalion, including his commanding officer Major Bennett Marco (Frank Sinatra), in what was a multi-day battle behind enemy lines. After the war, Raymond leaves the Army to start a job in New York City as the confidential assistant to well-respected political journalist Holborn Gaines (Lloyd Corrigan), who has never written a nice thing about the Iselins. Bennett Marco (now reassigned to a post in Washington, D.C.), who nominated Raymond for the award, suffers from a recurring nightmare, where he, the nine other men, plus two who never made it out of the battle, are attending what is on the surface an innocuous New Jersey women's gardening club meeting, but which he can feel has sinister undertones related to Raymond. What makes the nightmare more disturbing is that, in reality, he is compelled to say only the nicest things about Raymond whenever asked, which he knows he doesn't truly believe. If asked in return, Raymond would corroborate that he did not get along with any of the men, including Bennett, who all disliked him. Raymond would in fact admit that he is an unlovable person, he only having loved and been loved once in his life, to Jocelyn Jordan (Leslie Parrish), the daughter of Democratic Senator Thomas Jordan (John McGiver). It was a relationship that Eleanor Iselin forced her son to break off, as she could not tolerate Raymond being with the daughter of a man who she considered a Communist. What Bennett is unaware of, is that at least one of the other eight survivors, with whom he has not kept in contact after returning to the States, has a similar version of the same nightmare. Bennett eventually decides that the one person who can best help him figure out the source of the nightmare is Raymond. After witnessing some unusual behavior in Raymond, Bennett Marco knows that something is not right and discovers an unprecedented conspiracy against the United States.—Huggo/Robert Sieger"
Manhattan Murder Mystery,https://imsdb.com/Movie Scripts/Manhattan Murder Mystery Script.html,"Middle aged New Yorkers Larry and Carol Lipton's marriage is in an unspoken rut. That rut is highlighted when they formally meet for the first time Paul and Lillian House, long time neighbors approaching their senior years who live on the same floor as them in their upscale Manhattan apartment building. The day after that meeting which included coffee in the Houses' apartment, Larry and Carol learn that Lillian died of coronary heart failure. Spurred on by having just watched Double Indemnity (1944), Carol, based largely on circumstantial evidence, believes that Paul may have murdered Lillian, as he is not bereft enough about her passing, especially as she had not mentioned any health problems in their detailed discussion during coffee the previous evening. Larry, a book editor, believes that Carol's imagination is working overtime, especially as she is currently unemployed, but whose most recent employment thought is to open a restaurant. Carol turns to their recently divorced friend Ted, a writer and a possible partner in the restaurant venture, to be Watson to her Sherlock Holmes in finding out conclusive evidence to her belief, no matter what it takes. Ted, who generally does have more of an adventurous spirit than Larry to match Carol in that respect, is a willing Watson. Larry believes Ted's willingness is because he is interested in Carol sexually. Larry, beyond wanting to set Ted up with Marcia Fox, one of his clients who seems to be interested in Larry himself, has to decide if he should get involved in Carol's investigative work if only to save their marriage. Things change when Carol discovers more and more evidence which points to Paul truly being a murderer, at which time the foursome of Carol, Ted, Larry and Marcia try to pull whatever references they can think of from books and movies to piece together the story and as such gather the necessary evidence, without really realizing that their lives may be in danger if Paul truly is a murderer and finds out they are after him.—Huggo"
Manhunter,https://imsdb.com/Movie Scripts/Manhunter Script.html,"Will Graham (William Petersen), an ex-F.B.I. profiler, quit the job because of the toil his last case, that of serial killer, psychiatrist Dr. Hannibal Lecktor (Brian Cox), took on him. Despite his work directly leading to Lecktor being captured and incarcerated, working on the case not only almost took Will's life, but also his sanity, as he needed to get into psychopathic Lecktor's mind. Will is coerced by his old boss, Jack Crawford (Dennis Farina), to return to work to assist with a new case of a serial murderer coined by the media as the ""Tooth Fairy"" (Tom Noonan). The Tooth Fairy has thus far committed two sets of murders, in consecutive months on the night of the full moon. Both sets of murders, occurring in different cities, were of families in their own houses, the family matriarch in each case was the person the Tooth Fairy seemed to place special attention. Will agrees to the job in part because he too is a family man, he assuring his loving wife Molly Graham (Kim Greist) that he will only examine the evidence and not get immersed psychologically into the case like he did last time. Will can't help but consult Lecktor on the case in needing once again to understand the mind of a psychopathic serial killer. Adding to the complexity of the case is Freddy Lounds (Stephen Lang), a reporter with a national tabloid, he who not only sensationalized the Lecktor case, but also capitalized on Will's mental decline during that case. Lounds cannot help but once again try to find something salacious on which to write with Will's involvement in the ""Tooth Fairy"" case. The case may end up being personal against the other for Will and the ""Tooth Fairy"", especially as Will discovers some ties, either direct or indirect, back to Lecktor. What neither Will nor the ""Tooth Fairy"" probably imagined is the entrance of an unexpected person into their lives that may affect what happens. All this becomes more and more important as the next full moon approaches.—Huggo"
Margaret,https://imsdb.com/Movie Scripts/Margaret Script.html,"Margaret centers on a 17-year-old New York City high-school student who feels certain that she inadvertently played a role in a traffic accident that has claimed a woman's life. In her attempts to set things right she meets with opposition at every step. Torn apart with frustration, she begins emotionally brutalizing her family, her friends, her teachers, and most of all, herself. She has been confronted quite unexpectedly with a basic truth: that her youthful ideals are on a collision course against the realities and compromises of the adult world.—Anonymous"
Margin Call,https://imsdb.com/Movie Scripts/Margin Call Script.html,"Set in the high-stakes world of the financial industry, Margin Call is a thriller entangling the key players at an investment firm during one perilous 24-hour period in the early stages of the 2008 financial crisis. When entry-level analyst Peter Sullivan (Zachary Quinto) unlocks information that could prove to be the firm's downfall, a rollercoaster ride ensues as decisions both financial and moral catapult the lives of all involved to the brink of disaster. Expanding the parameters of genre, Margin Call is a riveting examination of the human components of a subject too often relegated to partisan issues of black and white."
Margot at the Wedding,https://imsdb.com/Movie Scripts/Margot at the Wedding Script.html,"Margot and Pauline, two of four siblings, have been estranged for years, largely because of their fundamental differences. Margot, a successful Manhattan-based writer, is judgmental yet neurotic. She believes anyone stupid is clinically retarded or autistic. She has written about their family, including Pauline and their abusive father, as therapy, although she does not admit publicly that her stories are autobiographical. Pauline, a divorced college professor with a preteen daughter named Ingrid, is a free spirit who largely goes where life takes her, which is nowhere. Despite that estrangement, Pauline invites Margot and her family to her wedding at Margot and Pauline's childhood Long Island home where Pauline now lives with her fiancé, Malcolm. Margot, in turn, accepts, also despite she not approving of Malcolm either on principle or on first sight, he who dabbles in many different areas, none of which earns him any money. Margot and her preteen son Claude arrive a few days in advance of the wedding, while the rest of their family, including Margot's husband Jim, plan to arrive the day of. Margot's unyielding ways have had a negative affect on Claude, although he needs the emotional connection to his mother. Pauline learns that while in the area Margot plans on doing some work, she who is collaborating on a screenplay with local writer, Dick Koosman, whose twenty year old daughter Maisie is friends with Pauline and Malcolm. As such, Pauline can't help feel that Margot accepted the wedding invitation solely because of that work. Margot and Pauline feel the need to be close to each other emotionally, which manifests itself in each telling the other issues about their personal life which they have not divulged to anyone else. These revelations and what they do with the information may either bring them closer together or tear them apart even further as those revelations also affect their relationships with others in the same way.—Huggo"
"Mariachi, El","https://imsdb.com/Movie Scripts/Mariachi, El Script.html","American crime lord Moco has set up a lucrative business in Mexico. He tries to rub out his imprisoned employee Azul. However, Azul overcomes the hit-men and escapes, determined to get his revenge. Meanwhile, a wandering mariachi comes to the same town looking for work. As Azul's trademark is his guitar case filled with weapons, the Mariachi is mistaken for him and finds himself a hunted man. Everyone looking for him likes to shoot first and ask questions later, so correcting the misunderstanding will not be easy.—rmlohner"
Marley & Me,https://imsdb.com/Movie Scripts/Marley %2526 Me Script.html,"After their wedding, newspaper writers John and Jennifer Grogan move to Florida. In an attempt to stall Jennifer's ""biological clock"", John gives her a puppy. While the puppy Marley grows into a 100 pound dog, he loses none of his puppy energy or rambunctiousness. Meanwhile, Marley gains no self-discipline. Marley's antics give John rich material for his newspaper column. As the Grogans mature and have children of their own, Marley continues to test everyone's patience by acting like the world's most impulsive dog.—Ken Miller <wkmiller704@yahoo.com>"
Martha Marcy May Marlene,https://imsdb.com/Movie Scripts/Martha Marcy May Marlene Script.html,"After not hearing from her in two years, Lucy receives a telephone call from her only sibling, younger Martha, who eventually accepts Lucy's offer to come pick her up. Martha, who only mentions that she was living with a boyfriend in upstate New York, ends up staying with Lucy and her new husband, Ted, an architect, in their rented Connecticut lake-front recreational home. During her stay with them, Martha seems unfocused about what she will do with her life. She also displays inappropriate behavior, not matching anything resembling western convention. Lucy doesn't press Martha on the root cause of the behavior because of their family history, and Lucy's resulting want to provide unconditional support and love to her only family. Ted tolerates the behavior if only to keep Lucy happy. What Martha has not told them is that those two years she was renamed Marcy May and were spent with a cult, her behavior being what she was indoctrinated into as being what was done with that group. Situations with Lucy and Ted trigger those memories for Martha and resulting behavior. Even in her brainwashed state, Martha became to realize that certain actions by the cult were not what she knew to be right, and was able to escape from them. But as her time with Lucy and Ted progresses, Martha begins to lose track of what memories are real and what are phantom, which is exacerbated by her belief that the cult is after her. In her paranoid state, Martha becomes a risk not only to Lucy and Ted but to herself.—Huggo"
"Martian, The","https://imsdb.com/Movie Scripts/Martian, The Script.html","During their mission in Mars, a team of astronauts is hit by an unpredicted storm and have to abort their mission and leave for Earth. During the evacuation one of the crew members, Mark Watney, is hit by a projectile due to the storm and is thrown away. The crew is forced to leave him thinking he died due to rupture in his space suit. However Mark survives and now has to find ingenious ways to make it till the next scheduled Mars mission fours years later with the remaining meagre supplies. Being a botanist he manages to cultivate food and survives by scavenging parts of previous missions. NASA soon learns about him and attempts a daring and dangerous mission to bring him back. Will they succeed in bringing him back alive? Only time will tell.—Keith Francis"
Marty,https://imsdb.com/Movie Scripts/Marty Script.html,"The oldest of several siblings, thirty-four year old Italian-American Marty Piletti is a butcher in the Bronx. He is somewhat a sad man in his life not turning out the way he wanted. An academically intelligent man, he never chose being a butcher as a career, he having fallen into it as the responsible thing to do as the oldest. Regardless, he is thinking about buying the butcher shop where he works in the owner planning to sell. The biggest source of his sadness is while all his younger siblings are now married, some with children, he is still single, living in the family home with his widowed mother Teresa. While he, his best friend Angie and their other bachelor friends hang out together during their free time, sometimes cruising for girls but more often than not just wandering aimlessly, Marty has come to the conclusion that love is not in the cards for him in not having the model good looks that seems to attract girls. In addition, he has had enough heartache in being turned down time and again when he does put himself out there to no longer wanting to do it. Against his better judgment, he, on his mother's urging in wanting him to find a girl, goes out on Saturday night with Angie to the Stardust dance hall. While this night looks like it will turn out like most such nights, namely in heartache, Marty ends up meeting twenty-nine year old schoolteacher, Clara Snyder. A proverbial wallflower, Clara is equally as sad as Marty, she using the excuse of her father in particular needing her as a reason not to strike out on her own, with her and Marty's meeting solely due to her blind date ditching her in being disappointed with the setup due to her looks, she also not model material. In their shared loneliness, Marty and Clara end up connecting emotionally. While there seems to be the possibility that love with each other could end up part of their lives, they not only have to overcome their own insecurities to enter into a relationship, but the open feelings of others, those in Marty's life injecting their own biases in seeing Clara as not the one for him.—Huggo"
Mary Poppins,https://imsdb.com/Movie Scripts/Mary Poppins Script.html,"In Edwardian London, yet another nanny resigns from keeping an eye on George Banks' boisterous children, Jane and Michael. But then, as if by magic, a new one, the enchanting Mary Poppins, lands on their doorstep to take control of the situation as thrilling adventures along with her Cockney performer friend, Bert, pave the way for a wonderful transformation. Will she turn chaos into order?—Nick Riganas"
"Mask, The","https://imsdb.com/Movie Scripts/Mask, The Script.html","Stanley Ipkiss (Jim Carrey) is a young shy man who works in a bank. One day, he discovers a mask by the sea, which (according to an archaeologist) pictures the Norse god of tricks and deception, Loki. When Stanley puts on the mask, he transforms into an uncontrolled reflection of himself, that does crazy things and amazes the people. This new super-hero, the ""Mask"", falls in love with a singer, Tina Carlyle (Cameron Diaz) while he decides to eliminate every gangster in the city.—Chris Makrozahopoulos <makzax@hotmail.com>"
Master and Commander,https://imsdb.com/Movie Scripts/Master and Commander Script.html,"During the Napoleonic Wars, a British frigate, HMS Surprise, and a much larger French warship, the Acheron, with greater fire power, stalk each other off of the coast of South America. Russell Crowe brings great intensity to the role of Captain Jack Aubrey. Lucky Jack, as he is referred to by his crew, is well regarded by his men, who trust him implicitly, even after the first devastating battle and an apparent personal vendetta against the French captain. While the naval battle sequences are quite fantastic, the film is successful because director Weir chose to build the story to get to know the men who are locked aboard the tight quarters of a small ship and how they interact everyday. The officers and the mates are well-known by the time the final battle comes. Paul Bettany offers a strong performance as the surgeon and naturalist who balances the violence of his chosen life with the quiet demeanor of the scientist. He is the captain's friend and confidant, the two frequently playing violin and cello duets together. The horrors of the injuries from the war are frequently implied, but vividly depicted in the reactions of the characters.—John Sacksteder <jsackste@bellsouth.net>"
"Master, The","https://imsdb.com/Movie Scripts/Master, The Script.html","Following his discharge from the US Navy after WWII, Freddie Quell is having difficulties adjusting to non-military life partly due to his war experiences in the tropics. He has a violent temper. He is obsessed with sex, which is partly why he can't and won't commit to his teenaged girlfriend, Doris Solstad. And he is an alcoholic, drinking primarily concoctions he creates himself with dangerous ingredients. It is these factors in combination that lead to him being fired from one job after another, from department store portrait photographer to cabbage picker. Wandering one night in 1950 while drunk, he stumbles upon a yacht being used by Lancaster and Peggy Dodd, the yacht aboard which their daughter Elizabeth will get married. Feeling a connection to the stranger, Lancaster invites Freddie to stay aboard to work. In addition to that work, Lancaster indoctrinates him into his cult, named the Cause, which purports to do things as varied as cure serious maladies and create world peace. Peggy, Elizabeth and Elizabeth's husband Clark all subscribe to and support Lancaster's teachings. The only one of the Dodd family that doesn't is Lancaster and Peggy's son, Val Dodd, who believes his father is just making things up as he goes along. Because of being lost psychologically, Freddie is easy prey, he who is looking for something or someone to guide him to a higher plane. But as Freddie travels with the Dodd family as they spout the gospel, he and the Dodds may become at odds with each other if Freddie cannot or does not find from them and the Cause what he needs in life to survive emotionally.—Huggo"
Matchstick Men,https://imsdb.com/Movie Scripts/Matchstick Men Script.html,"Meet Roy and Frank, a couple of professional small-time con artists. What Roy, a veteran of the grift, and Frank, his ambitious protégé, are swindling these days are ""water filtration systems,"" bargain-basement water filters bought by unsuspecting people who pay ten times their value in order to win bogus prizes like cars, jewelry and overseas vacations--which they never collect. These scams net the flim-flam men a few hundred here, another thousand there, which eventually adds up to a lucrative partnership. Roy's private life, however, is not so successful. An obsessive-compulsive agoraphobe with no personal relationships to call his own, Roy is barely hanging on to his wits, and when his idiosyncrasies begin to threaten his criminal productivity he's forced to seek the help of a psychoanalyst just to keep him in working order. While Roy is looking for a quick fix, his therapy begets more than he bargained for: the revelation that he has a teenage daughter--a child whose existence he suspected but never dared confirm. What's more troubling, 14-year-old Angela wants to meet the father she never knew. At first, Angela's appearance disrupts her neurotic father's carefully ordered routine. Soon, however, with his own unique spin on parenthood, Roy begins to enjoy a relationship he never dreamed of having with his daughter. But while he develops paternal feelings for the 14-year-old, she's developing a fascination with Daddy's questionable career.—Sujit R. Varma"
"Matrix Reloaded, The","https://imsdb.com/Movie Scripts/Matrix Reloaded, The Script.html","After a century of war against the machines and a few months after the eye-opening events of The Matrix (1999), the unstoppable mechanical adversary is bent on eradicating humankind. As a result, Zion, the last remaining human city on the scorched planet Earth, starts to feel the suffocating stranglehold of a quarter-million sentinels boring from the black surface down to the underground stronghold. Now Morpheus, Neo, and Trinity must delve deeper into the Matrix to find answers. But as all-powerful programs go rogue, standing in the way of fulfilling the prophecy, the question remains. Is Neo the One? Can faith alone save everyone connected to the Matrix?—Nick Riganas"
"Matrix, The","https://imsdb.com/Movie Scripts/Matrix, The Script.html","Hooked into the Matrix without even knowing it, an elaborate, omnipresent computer system designed to manipulate free will, reclusive hacker Thomas Anderson, aka Neo, is about to have an eye-opening revelation. And haunted by burning, unspoken questions, Neo crosses paths with leather-clad cyber-rebel Trinity and inspirational leader Morpheus, who claim to hold the answers to the reality of his imprisoned existence. Little by little, as Neo tumbles down the rabbit hole, the shocking truth about an artificial dreamland unfolds, catching the attention of the Agents: sentient programs guarding all the doors. But with people so hopelessly dependent on the system, what will it take to unplug and escape the Matrix?—Nick Riganas"
Max Payne,https://imsdb.com/Movie Scripts/Max Payne Script.html,"Three years ago, NYPD detective Max Payne's wife and baby were murdered. Max gets himself transferred to the cold case office where he can continue searching for the killer who got away. He's a loner, but two people reach out to him during a fateful week: Alex, his ex-partner who may have found a clue, and BB, the security chief at the pharmaceutical company where Max's wife worked. Meanwhile, bodies are piling up, some as a result of a drug on the street that is highly addictive and, for many who take it, brings hideous hallucinations. When one of the bodies is a woman Payne was the last to see alive, her sister comes looking for him armed to the teeth; Max must move fast.—<jhailey@hotmail.com>"
